date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2/13/20 17:50,AlexRedSearch,,0,0,0,"Just in time for #ValentinesDay, a 4-part guide to navigating #love at the workplace in a post-#MeToo era. http://ow.ly/4dIn50ylxKY #officeromance #officedating #workplaceromance #workhusband #workwife #employeerelations #ethics #workplacebehavior #workplacepolicies #lovecontract",,,#ValentinesDay #ValentinesDay #love #MeToo #MeToo #officeromance #officedating #workplaceromance #workhusband #workwife #employeerelations #ethics #workplacebehavior #workplacepolicies #lovecontract,1.23E+18,https://twitter.com/AlexRedSearch/status/1228013478314639361
2/13/20 17:49,elkhitman,stclairashley,0,0,0,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/elkhitman/status/1228013298592829440
2/13/20 17:49,Shaughn_A2,RexChapman,0,0,0,#MeToo alarm going off in 3..2..1.. ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/Shaughn_A2/status/1228013217777143815
2/13/20 17:48,rachelfulginiti,,0,0,0,"Hey, we got an Earphones Award! Congrats, everyone!! AudioFile Audiobook Review: NEVERTHELESS WE PERSISTED: ME TOO https://www.audiofilemagazine.com/reviews/Read/175279 @BlunderWomanPro @Blunder_Woman #EarphonesAward #AudieFinalist #Review #MeToo #AwardWinning #Audiobook",,@BlunderWomanPro @Blunder_Woman,#EarphonesAward #AudieFinalist #Review #MeToo #MeToo #AwardWinning #Audiobook,1.23E+18,https://twitter.com/rachelfulginiti/status/1228013033714118656
2/13/20 17:48,Depp3Sam,pillysandova,0,0,0,"Yes, She Did Mock Me~I Am Person In The #metoo Movement But, I she Will NEVER Get Away With It Again~DV Has No Gender &amp; If That's Not The Case, They Are DEAD WRONG~BTW They Might Wanna Throw scammer A Stinkin' Dead Piece Of Fish! #JohnnyDeppIsASurvivor #JohnnyDeppIsASurvivor",,,#metoo #metoo #JohnnyDeppIsASurvivor #JohnnyDeppIsASurvivor,1.23E+18,https://twitter.com/Depp3Sam/status/1228013013132873729
2/13/20 17:47,paulinepark,,0,1,2,"#MichaelBloomberg's long &amp; sordid #history of #sexualharassment alone is enough to discredit him; why replace one #Republican #billionaire #misogynist with another...? #MikeBloomberg needs to face the #MeToo music, too~! ",,,#MichaelBloomberg #history #sexualharassment #Republican #billionaire #misogynist #MikeBloomberg #MeToo #MeToo,1.23E+18,https://twitter.com/paulinepark/status/1228012854189658117
2/13/20 17:46,Alex_Jetblack,hamsterjoueur,0,0,3, Pour rappel ce coffret comprend le rÕ©cent repressage de #ToyStory2 qui est censurÕ© depuis l_Ñéaffaire #MeToo (La scÕŒne avec papi pÕ©pites et les Barbies). ,,,#ToyStory2 #MeToo #MeToo,1.23E+18,https://twitter.com/Alex_Jetblack/status/1228012659045490694
2/13/20 17:46,Melissa28181015,MyGrindelwald,0,0,0,@enews @eentertainment @etnow @TheView @GMA @TheTalkCBS @TODAYshow @ABC @NBCNews @thetimes - who_Ñés going to do the work and bring the Depp/Heard story to the surface for all to see? #MeToo started for us women but is really for anyone abused. #DoTheRightThing,,@enews @eentertainment @etnow @TheView @GMA @TheTalkCBS @TODAYshow @ABC @NBCNews @thetimes,#MeToo #MeToo #DoTheRightThing,1.23E+18,https://twitter.com/Melissa28181015/status/1228012617832202245
2/13/20 17:45,book_mass,,0,0,0,"Read a short story by a #Boomer disparaging young #feminists for not appreciating the work 2nd gen have done. She made herself sound even more out of touch by mocking #MeToo, writing it as ""metoo#"" ",,,#Boomer #feminists #MeToo #MeToo,1.23E+18,https://twitter.com/book_mass/status/1228012346267897857
2/13/20 17:45,BaileyJoWelch,mega2e,0,0,1,_ÑÒI would never put myself in that position._Ñù Not in a high school relationship? Not at a friend_Ñés house on a Friday night? These are the _ÑÒpositions_Ñù people are _ÑÒputting themselves in_Ñù in this #MeToo era. No one chooses this other than the offender. ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/BaileyJoWelch/status/1228012293885235201
2/13/20 17:45,Fight4TruthQ,TMSophia72,0,0,0,Maybe you will learn your lesson not to judge people until all the evidence comes out. #MeToo,,,#MeToo #MeToo,1.23E+18,https://twitter.com/Fight4TruthQ/status/1228012273366654976
2/13/20 17:45,DukkaA,RashidaTlaib,0,0,0,Funny.....Your culture and religion promotes control of women. #LOL #feminism #culture #metoo,,,#LOL #feminism #culture #metoo #metoo,1.23E+18,https://twitter.com/DukkaA/status/1228012213081788416
2/13/20 17:44,tekhelet17,DrKarlynB,0,0,0,Really great balanced look at the issue of #MeToo ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/tekhelet17/status/1228012069552680961
2/13/20 17:43,thatscratchyrat,,0,0,1,#MeToo #Obama #TheView #DemocratCorruption They all knew but took the money ,,,#MeToo #MeToo #Obama #TheView #DemocratCorruption,1.23E+18,https://twitter.com/thatscratchyrat/status/1228011892955918336
2/13/20 17:43,ha_zett,,0,0,0,#MeToo: Manë_cheë_ster Art Galë_leë_ry entë_fernt berÕ_hmë_tes GemÕ_lë_de aus Museë_um _Ñ_ phië_loë_soë_phia perenë_nis Quelle: #MeToo: Manchester Art Gallery entfernt berÕ_hmtes GemÕ_lde aus Museum _Ñ_ philosophia perennis ,,,#MeToo #MeToo #MeToo #MeToo,1.23E+18,https://twitter.com/ha_zett/status/1228011718439309314
2/13/20 17:42,LynnInCA,,0,0,0,_ÑÉI_Ñéd Do Her_Ñé: Mike Bloomberg and the Underbelly of #MeToo ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/LynnInCA/status/1228011463991652352
2/13/20 17:41,weirb4,juliembolus,0,0,1,#metoo with my partner of 39 years...(I was a child bride).,,,#metoo #metoo,1.23E+18,https://twitter.com/weirb4/status/1228011439866118151
2/13/20 17:41,AAG18164573,SkyNews,0,0,2,"McGowan's career is long since finished, and while I applaud her #metoo activism, she really needs to just shut up criticising other actresses. Portmans done nothing to her. Honestly...",,,#metoo #metoo,1.23E+18,https://twitter.com/AAG18164573/status/1228011347952181248
2/13/20 17:40,IslesDynastyYES,GeorgeTakei,0,0,0,Is George Takei still sexually assaulting women? Is #MeToo legitimate or is another group of hypocritical Democrats who look the other way if it's one of their own? Virignia Lieutenant Governor?? Where you at Democrats? #MeTooHucksters,,,#MeToo #MeToo #MeTooHucksters,1.23E+18,https://twitter.com/IslesDynastyYES/status/1228011177378185216
2/13/20 17:40,markiesde_sade,vollebergh,0,0,1,#MeToo,,,#MeToo #MeToo,1.23E+18,https://twitter.com/markiesde_sade/status/1228011095685816321
2/13/20 17:40,PumpkinPerson2,Silentr3bel1,0,0,0,Hundreds of powerful white men have been taken down by #metoo including Weinstein who queen oprah exposed: ,,,#metoo #metoo,1.23E+18,https://twitter.com/PumpkinPerson2/status/1228011090149302280
2/13/20 17:40,MajBinDE,Jeremy_Roenick,0,0,0,The narcissist is unable/incapable/unwilling/refuses to understand why they are ever wrong. Women have been put on earth to be more than just an object #TimesUp #MeToo #RealTalk,,,#TimesUp #MeToo #MeToo #RealTalk,1.23E+18,https://twitter.com/MajBinDE/status/1228010993021784065
2/13/20 17:40,baileyparkertan,ShayInLa,1,0,0,Before #MeToo and the acussors coming forward ,,,#MeToo #MeToo,1.23E+18,https://twitter.com/baileyparkertan/status/1228010956216819715
2/13/20 17:39,chuoinsectclub,Mimehura,1,0,1,#MeToo_Ñ_(),,,#MeToo #MeToo,1.23E+18,https://twitter.com/chuoinsectclub/status/1228010939254894592
2/13/20 17:39,vinnywhufc,IAmScottFautley,1,0,0,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/vinnywhufc/status/1228010884800417798
2/13/20 17:39,astrorenge,UberSkinh,0,0,1,#metoo,,,#metoo #metoo,1.23E+18,https://twitter.com/astrorenge/status/1228010738230362114
2/13/20 17:38,Puffindor,BoldBebo,0,0,3,"I am a believer in the #MeToo movement, but where is your proof? I am a mod in his group and have been treated with the utmost of respect. Without proof, this is libel. You are damaging his reputation and career.",,,#MeToo #MeToo,1.23E+18,https://twitter.com/Puffindor/status/1228010685554135040
2/13/20 17:38,sex_abuse_news,,0,0,0,"Abus sexuels sur des garÕ_ons:""Les victimes peuvent nourrir des penchants homosexuels""(sociologue) - SeneNews - ActualitÕ© au SÕ©nÕ©gal https://www.senenews.com/actualites/abus-sexuels-sur-des-garconsles-victimes-peuvent-nourrir-des-penchants-homosexuelssociologue_299035.html #metoo",,,#metoo #metoo,1.23E+18,https://twitter.com/sex_abuse_news/status/1228010684362960897
